№п/п;группа;пол;возраст;средний доход в месяц;стаж работы в сети Интернет;профессиональная специализация (насколько тесно профессия клиента связана с Интернет);среднее количество просматривемых страниц в месяц;степень активности (участие в Интернет-опросах) , балльная оценка;степень активности (участие в Интернет-опросах) , качественная оценка
1;1;2;25;34.2;7.6;2;1062;70;средняя
2;1;2;24;32.1;7.2;4;1126;78;высокая
3;1;1;28;33.8;15.7;4;2311;97;высокая
4;1;2;22;35.5;5.9;3;846;73;средняя
5;1;1;26;35.9;8.8;3;1339;82;высокая
6;1;2;27;38.1;10.9;3;1629;78;высокая
7;1;1;25;38.1;8.1;2;1235;72;средняя
8;1;2;24;35.3;8.9;2;1317;76;высокая
9;1;1;27;42.4;14.3;3;2170;75;высокая
10;1;1;25;35.2;9.6;1;1412;74;средняя
11;1;1;27;35.4;13.3;1;1963;81;высокая
12;1;1;26;35.9;8.7;3;1283;76;высокая
13;1;2;23;29.7;7.0;1;1042;83;высокая
14;1;1;26;33.7;11.6;3;1746;85;высокая
15;1;1;24;34.0;10.0;1;1489;78;высокая
16;1;2;24;39.1;9.5;2;1423;75;средняя
17;1;1;26;42.8;12.2;3;1850;77;высокая
18;1;2;23;39.3;6.3;2;952;70;средняя
19;1;1;22;33.3;5.1;1;757;73;средняя
20;1;2;25;40.2;8.7;3;1269;70;средняя
21;1;1;25;31.3;9.1;3;1367;83;высокая
22;1;2;27;26.2;12.0;3;1774;87;высокая
23;1;1;24;34.4;9.9;2;1474;79;высокая
24;1;1;24;39.2;10.8;2;1623;79;высокая
25;1;1;23;35.8;8.5;2;1274;78;высокая
26;1;2;25;35.6;7.9;3;1194;78;высокая
27;1;1;24;36.7;4.1;1;623;66;средняя
28;1;2;27;45.0;6.4;3;989;65;низкая
29;1;1;21;32.3;4.3;3;607;76;высокая
30;1;1;24;36.1;10.0;2;1501;83;высокая
31;1;1;22;36.1;7.6;2;1154;77;высокая
32;1;1;26;25.2;14.4;2;2130;99;высокая
33;1;2;25;42.7;10.3;4;1576;71;средняя
34;1;1;26;39.5;6.5;1;920;74;средняя
35;1;1;27;34.3;11.3;2;1680;83;высокая
36;1;2;23;27.9;6.6;4;1018;88;высокая
37;1;1;22;35.5;8.9;3;1348;80;высокая
38;1;2;26;39.8;10.8;2;1623;75;высокая
39;1;1;26;33.7;9.7;4;1436;79;высокая
40;1;2;24;36.5;8.8;3;1337;82;высокая
41;1;1;27;35.6;9.8;3;1455;82;высокая
42;1;2;25;34.7;10.3;2;1529;80;высокая
43;1;1;26;32.7;8.1;3;1233;80;высокая
44;1;1;22;32.0;5.7;3;885;72;средняя
45;1;1;29;33.9;12.9;2;1954;87;высокая
46;1;2;24;34.8;5.7;1;812;71;средняя
47;1;1;27;37.5;14.0;2;2107;85;высокая
48;1;2;24;29.7;6.4;2;948;80;высокая
49;1;1;20;40.2;6.0;3;893;67;средняя
50;1;1;23;27.1;7.6;3;1117;82;высокая
51;1;1;26;32.2;10.1;2;1505;86;высокая
52;1;1;24;30.7;9.7;3;1459;87;высокая
53;1;2;22;26.9;8.6;4;1292;87;высокая
54;1;1;26;41.9;10.9;2;1620;80;высокая
55;1;1;25;35.2;10.6;3;1595;80;высокая
56;1;2;24;24.2;13.8;3;2042;97;высокая
57;1;1;25;24.4;9.5;2;1426;88;высокая
58;1;2;26;31.8;13.5;4;2046;86;высокая
59;1;1;26;39.1;11.2;3;1654;74;средняя
60;1;2;28;36.8;15.4;4;2297;86;высокая
61;1;1;23;20.5;6.5;2;983;93;высокая
62;1;2;26;32.2;10.6;2;1623;84;высокая
63;1;1;25;39.5;10.3;3;1517;74;средняя
64;1;1;25;40.6;10.4;2;1559;80;высокая
65;1;1;24;46.7;4.5;2;669;63;низкая
